,productsku,fullvisitorid,tot_interest,product_name
745,GGOEGOAQ012899,9412146594226097241,7.0,Ballpoint LED Light Pen
746,GGOEGOAB022499,7767487111812238597,6.0,Satin Black Ballpoint Pen
747,GGOEGOAB021499,7767487111812238597,4.0,Metal Texture Roller Pen
748,GGOEGGOA017399,7767487111812238597,2.0,Maze Pen
749,GGOEGBJL013999,8719058463049309640,30.0,Google Canvas Tote Natural/Navy
750,GGOEGDHC074099,8719058463049309640,30.0,Google 17oz Stainless Steel Sport Bottle
751,GGOEYOCR077799,8719058463049309640,30.0,YouTube Hard Cover Journal
752,GGOEGOAQ020099,8719058463049309640,30.0,Four Color Retractable Pen
753,GGOEGEHQ024099,8719058463049309640,28.5,Clip-on Compact Charger
754,GGOEGOCC077999,2419083783587438310,2.0,Google Spiral Journal with Pen
755,GGOEGOLC013299,2419083783587438310,2.0,Spiral Notebook and Pen Set
756,GGOEGOCC077299,2419083783587438310,2.0,Google RFID Journal
757,GGOEGFKA022299,1197204234107154844,2.0,Keyboard DOT Sticker
758,GGOEYFKQ020699,1197204234107154844,5.0,YouTube Custom Decals
759,GGOEGFKQ020399,1197204234107154844,4.5,Google Laptop and Cell Phone Stickers
760,GGOEGAAX0104,8885422469790736188,1.5,Google Men's 100% Cotton Short Sleeve Hero Tee White
761,GGOEGKWQ060910,8885422469790736188,1.5,Google Bib White
762,GGOEGAAX0105,8885422469790736188,1.5,Google Men's 100% Cotton Short Sleeve Hero Tee Black
763,GGOEGEVB070599,8885422469790736188,1.5,Google G Noise-reducing Bluetooth Headphones
764,GGOEGAAX0588,7012549213059932928,1.5,Google Women's Shell Jacket Blue/Black
765,GGOEGAAX0578,7012549213059932928,2.0,Google Women's Performance Full Zip Jacket Black
766,GGOEGAAX0580,7012549213059932928,2.0,Google Women's 1/4 Zip Jacket Charcoal
767,GGOEGAAX0604,7012549213059932928,2.0,Google Women's Quilted Insulated Vest Black
768,GGOEGAAX0596,7012549213059932928,4.0,Google Men's Quilted Insulated Vest Black
769,GGOEGBJL013999,7012549213059932928,7.0,Google Canvas Tote Natural/Navy
770,GGOEGAAX0325,4245538638840698803,19.0,YouTube Men's Short Sleeve Hero Tee Charcoal
771,GGOEYAAJ032514,4245538638840698803,-5.0,YouTube Men's Short Sleeve Hero Tee Charcoal
772,GGOEGAAX0358,8726813153683135107,13.5,Google Men's  Zip Hoodie
773,GGOEGAFB035816,8726813153683135107,8.0,Google Men's  Zip Hoodie
774,GGOEGAFB035817,8726813153683135107,22.5,Google Men's  Zip Hoodie
775,GGOEGBRB013899,2570612937804014178,4.0,Google Laptop Backpack
776,GGOEGAAX0364,5650628204685893274,26.0,Google Women's Tee Grey
777,GGOEGALJ036414,5650628204685893274,14.0,Google Women's Tee Grey
778,GGOEGAAX0350,0843143557737586340,2.5,Google Men's Bayside Graphic Tee
779,GGOEGBJL013999,0843143557737586340,1.5,Google Canvas Tote Natural/Navy
780,GGOEGBJC014399,0843143557737586340,1.5,Google Tote Bag
781,GGOEAOCB077499,0843143557737586340,1.5,Android RFID Journal
782,GGOEGOCC077299,0843143557737586340,2.0,Google RFID Journal
783,GGOEGOBC078699,0843143557737586340,26.5,Google Luggage Tag
784,GGOEGAAX0074,0843143557737586340,4.5,Google 22 oz Water Bottle
785,GGOEGAAC035016,0843143557737586340,22.5,Google Men's Bayside Graphic Tee
786,GGOEGODR017799,0843143557737586340,22.5,Recycled Mouse Pad
787,GGOEGOXQ016399,0843143557737586340,22.5,Badge Holder
788,GGOEGDHC018299,0843143557737586340,22.5,Google 22 oz Water Bottle
789,GGOEGXXX0806,6245888094161327613,2.5,Google Men's Bike Short Sleeve Tee Charcoal
790,GGOEGOCC077999,6245888094161327613,20.0,Google Spiral Journal with Pen
791,GGOEGAAX0328,6245888094161327613,2.5,Google Men's Long & Lean Tee Charcoal
792,GGOEGAAJ080615,6245888094161327613,17.5,Google Men's Bike Short Sleeve Tee Charcoal
793,GGOEGOLC013299,6245888094161327613,17.5,Spiral Notebook and Pen Set
794,GGOEGAAJ032815,6245888094161327613,17.5,Google Men's Long & Lean Tee Charcoal
795,GGOEGBRB013899,36445151010876646,2.0,Google Laptop Backpack
796,GGOEGFKQ020399,36445151010876646,28.5,Google Laptop and Cell Phone Stickers
797,GGOEAFKQ020499,36445151010876646,28.5,8 pc Android Sticker Sheet
798,GGOEGFKQ020799,36445151010876646,28.5,Google Doodle Decal
799,GGOEGBRA037499,36445151010876646,2.0,Waterproof Backpack
800,GGOEGBJC014399,1386018753537268331,0.5,Google Tote Bag
801,GGOEGFKA022299,1386018753537268331,3.5,Keyboard DOT Sticker
802,GGOEGCBB074399,1386018753537268331,3.5,Google Device Holder Sticky Pad
803,GGOEGAAX0037,1386018753537268331,5.0,Google Sunglasses
804,GGOEGKWQ060910,0082784177006211656,1.5,Google Bib White
805,GGOEGKWR060810,0082784177006211656,4.0,Google Bib Red
806,GGOEGAAX0610,0082784177006211656,4.0,Google Onesie Red/Graphite
807,GGOEGAAX0617,0082784177006211656,4.0,Android Onesie Gold
808,GGOEAAWT061748,0082784177006211656,-2.5,Android Onesie Gold
809,GGOEGBJC019999,665925237862575413,2.0,Collapsible Shopping Bag
810,GGOEGBMC056599,665925237862575413,5.0,Waterproof Gear Bag
811,GGOEGBPB082099,665925237862575413,4.0,UpCycled Handlebar Bag
812,GGOEGAAX0746,7603242478269861345,2.5,Google Women's Short Sleeve Badge Tee Navy
813,GGOEGAAX0341,7603242478269861345,2.5,Google Women's Vintage Hero Tee Black
814,GGOEGAAX0281,7603242478269861345,2.5,Google Women's Short Sleeve Badge Tee Grey
815,GGOEGAAX0280,7603242478269861345,2.5,Google Women's Short Sleeve Hero Tee Grey
816,GGOEGAAX0328,7603242478269861345,2.5,Google Men's Long & Lean Tee Charcoal
817,GGOEGAAX0299,7603242478269861345,2.5,Google Women's V-Neck Tee Charcoal
818,GGOEGAAX0365,7603242478269861345,2.5,Google Women's Scoop Neck Tee Black
819,GGOEGAAX0366,7603242478269861345,2.5,Google Women's Scoop Neck Tee White
820,GGOEGAAX0352,7603242478269861345,2.5,Android Men's Vintage Henley
821,GGOEGALL074615,7603242478269861345,-2.5,Google Women's Short Sleeve Badge Tee Navy
822,GGOEGAAX0327,7603242478269861345,2.5,Google Men's Long & Lean Tee Grey
823,GGOEGAAX0334,7603242478269861345,2.5,Android Men's Long Sleeve Badge Crew Tee Heather
824,GGOEGAAX0309,7603242478269861345,2.5,Android Women's Long Sleeve Blended Cardigan Grey
825,GGOEGAEJ029915,7603242478269861345,-2.5,Google Women's V-Neck Tee Charcoal
